Spanish,English
que,what
de,from
no,no
a,to
la,the
el,the
es,is
y,and
en,on
lo,it
un,a
por,by
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,is
si,Yes
bien,well
pero,but
yo,me
eso,that
las,the
sí,Yes
su,his
tu,you
aquí,here
del,the
al,to the
como,What
le,you
más,plus
esto,this
ya,already
todo,everything
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,I'm
tengo,I have
nos,us
tú,your
nada,nothing
cuando,when
ha,ha
este,East
sé,he
estás,these
así,So
puedo,may l
cómo,excuse me
quiero,want
sólo,alone
soy,am
tiene,have
gracias,Thank you
o,or
él,he
bueno,Okay
fue,was
ser,be
hacer,do
son,They are
todos,everyone
era,was
eres,are
vez,time
tienes,have
creo,believe
ella,her
he,He.
ese,that
voy,I go
puede,can
sabes,know
hola,hello
sus,their
porque,because
dios,God
quién,whose
nunca,never
dónde,where
quieres,you want
casa,House
favor,favor
esa,this
dos,two
tan,so
señor,Sir
tiempo,weather
verdad,truth
estaba,I was
mejor,better
están,is it so
va,he
hombre,man
usted,you
mucho,a lot
hace,make
entonces,then
siento,I feel
tenemos,have
puedes,you can
ahí,there
ti,you
vida,lifetime
ver,watch
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,say
uno,one
siempre,forever
oh,Oh
ir,to go
cosas,stuff
también,as well
antes,before
has,HAS.
ni,neither
mis,MIS
día,day
estar,be
estamos,we're
noche,evening
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,us
poco,little bit
padre,dad
trabajo,job
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,said
pasa,happens
dinero,money
hijo,child
tal,such
otro,other
hablar,speak
seguro,sure
claro,Clear
estas,are
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,then
momento,moment
desde,from
fuera,outside
cosa,thing
tipo,type
mañana,morning
podemos,can
dije,said
gran,big
necesito,needed
estado,condition
podría,might
acuerdo,agreement
papá,dad
tener,have
dice,it says
mío,Own
crees,you think
buena,good
gusta,like
nuestro,our
nuevo,new
será,be
